,loss,train_accuracy,fold1,fold2,fold3,fold4,fold5
85,1.8176557,0.7475,0.0,0.0,0.0,0.0,0.0
86,0.92079,0.7675,0.0,0.0,0.0,0.0,0.0
87,1.2240744,0.7725,0.0,0.0,0.0,0.0,0.0
88,0.9915966,0.78,0.0,0.0,0.0,0.0,0.0
89,1.0101603,0.75,0.306875,0.0,0.0,0.0,0.0
90,0.31851903,0.81,0.0,0.0,0.0,0.0,0.0
91,0.9892345,0.785,0.0,0.0,0.0,0.0,0.0
92,0.83437705,0.7725,0.0,0.0,0.0,0.0,0.0
93,1.3312267,0.76,0.0,0.0,0.0,0.0,0.0
94,0.45454794,0.765,0.0,0.0,0.0,0.0,0.0
95,0.7347924,0.7825,0.0,0.0,0.0,0.0,0.0
96,0.40970162,0.785,0.0,0.0,0.0,0.0,0.0
97,1.1079254,0.7725,0.0,0.0,0.0,0.0,0.0
98,1.231061,0.765,0.0,0.0,0.0,0.0,0.0
99,1.2088109,0.7675,0.285,0.0,0.0,0.0,0.0
